algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
GRaSP,0.0,10000,1002,0,14,,0.011
ICA-LiNGAM,0.0,10000,1002,0,0,0.0,0.033
DirectLiNGAM,0.0,10000,1002,0,0,0.0,0.197
PC,0.0,10000,1003,0,4,,0.027
FCI,0.0,10000,1003,0,8,,0.045
GES,0.0,10000,1003,0,5,,0.045
GRaSP,0.0,10000,1003,0,3,,0.014
ICA-LiNGAM,0.0,10000,1003,0,0,0.0,0.04
DirectLiNGAM,0.0,10000,1003,0,0,0.0,0.2
PC,0.0,10000,1004,0,4,,0.024
FCI,0.0,10000,1004,0,8,,0.041
GES,0.0,10000,1004,0,2,,0.044
GRaSP,0.0,10000,1004,0,3,,0.01
ICA-LiNGAM,0.0,10000,1004,0,0,0.0,0.033
DirectLiNGAM,0.0,10000,1004,0,0,0.0,0.199
PC,0.0,10000,1005,0,4,,0.024
FCI,0.0,10000,1005,0,8,,0.043
GES,0.0,10000,1005,0,15,,0.04
GRaSP,0.0,10000,1005,0,3,,0.009
ICA-LiNGAM,0.0,10000,1005,0,0,0.0,0.04
DirectLiNGAM,0.0,10000,1005,0,0,0.0,0.194
PC,0.0,10000,1006,0,2,,0.027
FCI,0.0,10000,1006,0,7,,0.04
GES,0.0,10000,1006,0,2,,0.044
GRaSP,0.0,10000,1006,0,3,,0.011
ICA-LiNGAM,0.0,10000,1006,0,0,0.0,0.035
DirectLiNGAM,0.0,10000,1006,0,0,0.0,0.197
PC,0.0,10000,1007,0,8,,0.025
FCI,0.0,10000,1007,0,9,,0.045
GES,0.0,10000,1007,0,5,,0.043
GRaSP,0.0,10000,1007,0,6,,0.009
ICA-LiNGAM,0.0,10000,1007,0,0,0.0,0.035
DirectLiNGAM,0.0,10000,1007,0,0,0.0,0.195
PC,0.0,10000,1008,0,6,,0.024
FCI,0.0,10000,1008,0,10,,0.047
GES,0.0,10000,1008,0,5,,0.057
GRaSP,0.0,10000,1008,0,16,,0.011
ICA-LiNGAM,0.0,10000,1008,0,0,0.0,0.036
DirectLiNGAM,0.0,10000,1008,0,0,0.0,0.198
PC,0.0,10000,1009,0,4,,0.024
FCI,0.0,10000,1009,0,8,,0.041
GES,0.0,10000,1009,0,15,,0.051
GRaSP,0.0,10000,1009,0,3,,0.01
ICA-LiNGAM,0.0,10000,1009,0,0,0.0,0.031
DirectLiNGAM,0.0,10000,1009,0,0,0.0,0.194
PC,0.0,10000,1010,0,12,,0.027
FCI,0.0,10000,1010,0,7,,0.05
GES,0.0,10000,1010,0,2,,0.044
GRaSP,0.0,10000,1010,0,3,,0.01
ICA-LiNGAM,0.0,10000,1010,0,0,0.0,0.033
DirectLiNGAM,0.0,10000,1010,0,0,0.0,0.198
PC,0.0,10000,1011,0,5,,0.023
FCI,0.0,10000,1011,0,8,,0.032
GES,0.0,10000,1011,0,13,,0.037
GRaSP,0.0,10000,1011,0,6,,0.011
ICA-LiNGAM,0.0,10000,1011,0,1,0.0,0.036
DirectLiNGAM,0.0,10000,1011,0,1,0.0,0.196
PC,0.0,10000,1012,0,7,,0.02
FCI,0.0,10000,1012,0,9,,0.032
GES,0.0,10000,1012,0,3,,0.055
GRaSP,0.0,10000,1012,0,3,,0.014
ICA-LiNGAM,0.0,10000,1012,0,1,0.0,0.035
DirectLiNGAM,0.0,10000,1012,0,1,0.0,0.205
PC,0.0,10000,1013,0,6,,0.026
FCI,0.0,10000,1013,0,9,,0.041
GES,0.0,10000,1013,0,13,,0.038
GRaSP,0.0,10000,1013,0,9,,0.013
ICA-LiNGAM,0.0,10000,1013,0,0,0.0,0.035
DirectLiNGAM,0.0,10000,1013,0,0,0.0,0.195
PC,0.0,10000,1014,0,7,,0.028
FCI,0.0,10000,1014,0,10,,0.042
GES,0.0,10000,1014,0,15,,0.04
GRaSP,0.0,10000,1014,0,11,,0.011
ICA-LiNGAM,0.0,10000,1014,0,0,0.0,0.031
DirectLiNGAM,0.0,10000,1014,0,0,0.0,0.201
PC,0.0,10000,1015,0,4,,0.028
FCI,0.0,10000,1015,0,8,,0.044
GES,0.0,10000,1015,0,2,,0.043
GRaSP,0.0,10000,1015,0,3,,0.01
ICA-LiNGAM,0.0,10000,1015,0,0,0.0,0.038
DirectLiNGAM,0.0,10000,1015,0,0,0.0,0.198
PC,0.0,10000,1016,0,4,,0.023
FCI,0.0,10000,1016,0,8,,0.041
GES,0.0,10000,1016,0,2,,0.043
GRaSP,0.0,10000,1016,0,9,,0.011
ICA-LiNGAM,0.0,10000,1016,0,0,0.0,0.03
DirectLiNGAM,0.0,10000,1016,0,0,0.0,0.202
PC,0.0,10000,1017,0,4,,0.023
FCI,0.0,10000,1017,0,8,,0.041
GES,0.0,10000,1017,0,3,,0.04
GRaSP,0.0,10000,1017,0,3,,0.011
ICA-LiNGAM,0.0,10000,1017,0,1,0.0,0.035
DirectLiNGAM,0.0,10000,1017,0,1,0.0,0.198
PC,0.0,10000,1018,0,4,,0.025
FCI,0.0,10000,1018,0,8,,0.042
GES,0.0,10000,1018,0,2,,0.045
GRaSP,0.0,10000,1018,0,3,,0.009
ICA-LiNGAM,0.0,10000,1018,0,0,0.0,0.035
DirectLiNGAM,0.0,10000,1018,0,0,0.0,0.194
PC,0.0,10000,1019,0,4,,0.023
FCI,0.0,10000,1019,0,8,,0.042
GES,0.0,10000,1019,0,5,,0.056
GRaSP,0.0,10000,1019,0,3,,0.011
ICA-LiNGAM,0.0,10000,1019,0,0,0.0,0.038
DirectLiNGAM,0.0,10000,1019,0,0,0.0,0.196
PC,0.0,50000,1000,0,4,,0.029
FCI,0.0,50000,1000,0,8,,0.044
GES,0.0,50000,1000,0,5,,0.045
GRaSP,0.0,50000,1000,0,5,,0.011
ICA-LiNGAM,0.0,50000,1000,0,0,0.0,0.184
DirectLiNGAM,0.0,50000,1000,0,0,0.0,0.725
PC,0.0,50000,1001,0,5,,0.031
FCI,0.0,50000,1001,0,9,,0.053
GES,0.0,50000,1001,0,5,,0.058
GRaSP,0.0,50000,1001,0,5,,0.011
ICA-LiNGAM,0.0,50000,1001,0,0,0.0,0.211
DirectLiNGAM,0.0,50000,1001,0,0,0.0,0.718
PC,0.0,50000,1002,0,9,,0.034
FCI,0.0,50000,1002,0,6,,0.053
GES,0.0,50000,1002,0,5,,0.062
